contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
VST250214C00095000,2025-01-30 18:14:33+00:00,95.0,77.0,70.75,73.45,,1,1.9140629296875002,True,2025-02-14,C
VST250214C00100000,2025-01-30 16:25:24+00:00,100.0,69.0,65.75,68.3,,37,1.64453302734375,True,2025-02-14,C
VST250214C00105000,2025-01-30 17:35:02+00:00,105.0,68.0,60.65,63.9,,0,1.7773448632812499,True,2025-02-14,C
VST250214C00110000,2025-02-07 20:29:57+00:00,110.0,56.03,56.05,58.3,33.0,35,1.5390648046875,True,2025-02-14,C
VST250214C00113000,2025-02-05 14:33:48+00:00,113.0,61.1,52.9,55.6,1.0,1,1.5126977490234375,True,2025-02-14,C
VST250214C00120000,2025-02-06 16:29:45+00:00,120.0,51.5,46.1,48.4,30.0,46,1.3105503222656247,True,2025-02-14,C
VST250214C00124000,2025-02-05 14:33:19+00:00,124.0,50.0,41.85,44.75,30.0,30,1.2294960400390624,True,2025-02-14,C
VST250214C00125000,2025-01-28 18:33:13+00:00,125.0,20.8,40.8,43.7,50.0,33,1.171879140625,True,2025-02-14,C
VST250214C00126000,2025-01-28 19:31:24+00:00,126.0,22.15,40.1,42.85,,7,1.26172244140625,True,2025-02-14,C
VST250214C00129000,2025-02-04 15:53:44+00:00,129.0,39.63,36.75,39.4,9.0,8,0.9433599414062499,True,2025-02-14,C
VST250214C00130000,2025-02-05 18:51:52+00:00,130.0,45.0,36.15,38.45,1.0,120,1.0634812451171878,True,2025-02-14,C
VST250214C00131000,2025-01-23 17:00:41+00:00,131.0,63.45,34.75,37.4,1.0,1,0.8945323046874999,True,2025-02-14,C
VST250214C00132000,2025-01-29 15:44:46+00:00,132.0,27.51,33.85,36.45,1.0,9,0.9248054394531251,True,2025-02-14,C
VST250214C00133000,2025-02-03 20:59:26+00:00,133.0,35.88,32.85,35.45,1.0,5,0.8994150683593749,True,2025-02-14,C
VST250214C00134000,2025-02-03 14:41:51+00:00,134.0,32.0,31.85,34.5,1.0,22,0.8896495410156249,True,2025-02-14,C
VST250214C00135000,2025-02-05 17:17:45+00:00,135.0,38.05,30.9,33.1,2.0,48,0.7304714453125,True,2025-02-14,C
VST250214C00136000,2025-01-31 18:06:46+00:00,136.0,36.15,29.9,32.45,2.0,26,0.8388687988281249,True,2025-02-14,C
VST250214C00137000,2025-02-05 20:14:31+00:00,137.0,36.55,29.3,31.35,2.0,51,0.8876964355468748,True,2025-02-14,C
VST250214C00138000,2025-02-07 18:58:35+00:00,138.0,30.99,28.6,30.25,1.0,44,0.901368173828125,True,2025-02-14,C
VST250214C00139000,2025-02-03 19:48:08+00:00,139.0,32.67,27.05,29.45,1.0,25,0.8017597949218749,True,2025-02-14,C
VST250214C00140000,2025-02-06 16:50:38+00:00,140.0,31.2,26.2,28.45,2.0,121,0.807619111328125,True,2025-02-14,C
VST250214C00141000,2025-02-06 14:54:54+00:00,141.0,27.7,25.2,27.55,1.0,8,0.8007832421875,True,2025-02-14,C
VST250214C00142000,2025-02-06 14:37:04+00:00,142.0,31.25,24.3,26.0,1.0,28,0.6777375976562501,True,2025-02-14,C
VST250214C00143000,2025-02-07 18:10:31+00:00,143.0,25.72,23.85,25.45,1.0,20,0.8344743115234373,True,2025-02-14,C
VST250214C00144000,2025-02-07 18:50:17+00:00,144.0,25.29,23.25,24.2,2.0,322,0.8261736132812498,True,2025-02-14,C
VST250214C00145000,2025-02-07 18:59:10+00:00,145.0,23.6,22.05,23.1,2.0,189,0.75586181640625,True,2025-02-14,C
VST250214C00146000,2025-02-04 18:58:22+00:00,146.0,23.0,21.0,22.5,3.0,17,0.7744163183593751,True,2025-02-14,C
VST250214C00147000,2025-02-07 17:35:56+00:00,147.0,21.96,20.2,21.2,1.0,59,0.7324245507812499,True,2025-02-14,C
VST250214C00148000,2025-02-07 15:54:49+00:00,148.0,22.9,19.55,21.65,13.0,240,0.8918467846679687,True,2025-02-14,C
VST250214C00149000,2025-02-04 16:19:29+00:00,149.0,20.98,18.6,20.05,7.0,52,0.8071308349609375,True,2025-02-14,C
VST250214C00150000,2025-02-07 19:31:28+00:00,150.0,18.18,17.8,19.8,7.0,254,0.85937640625,True,2025-02-14,C
VST250214C00152500,2025-02-07 20:29:57+00:00,152.5,15.28,15.15,17.95,23.0,206,0.8127460131835937,True,2025-02-14,C
VST250214C00155000,2025-02-07 20:59:49+00:00,155.0,13.95,13.45,14.7,83.0,201,0.7263210961914062,True,2025-02-14,C
