contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
GOOG250214C00130000,2025-02-03 15:24:20+00:00,130.0,57.14,56.2,57.7,1.0,4,1.5224633251953121,True,2025-02-14,C
GOOG250214C00135000,2025-01-29 17:36:14+00:00,135.0,62.2,51.25,53.0,,0,1.517092258300781,True,2025-02-14,C
GOOG250214C00140000,2025-02-05 19:19:49+00:00,140.0,52.64,46.4,47.95,7.0,6,0.8281267187499999,True,2025-02-14,C
GOOG250214C00145000,2025-02-07 15:29:38+00:00,145.0,43.4,41.25,43.0,3.0,1,1.241703010253906,True,2025-02-14,C
GOOG250214C00150000,2025-02-07 19:25:23+00:00,150.0,37.38,36.25,37.85,7.0,12,1.0605515722656251,True,2025-02-14,C
GOOG250214C00155000,2025-02-07 18:37:29+00:00,155.0,32.3,31.25,33.05,7.0,5,0.9916993017578125,True,2025-02-14,C
GOOG250214C00160000,2025-02-07 16:57:43+00:00,160.0,25.7,26.3,27.85,15.0,71,0.8081073876953124,True,2025-02-14,C
GOOG250214C00165000,2025-02-07 16:58:25+00:00,165.0,22.05,21.75,22.7,5.0,62,0.6440465283203125,True,2025-02-14,C
GOOG250214C00170000,2025-02-07 17:57:46+00:00,170.0,17.72,16.45,17.95,26.0,232,0.5800823242187501,True,2025-02-14,C
GOOG250214C00175000,2025-02-07 20:17:47+00:00,175.0,12.6,11.6,12.8,292.0,33,0.42188078125,True,2025-02-14,C
GOOG250214C00177500,2025-02-07 19:57:54+00:00,177.5,10.5,9.95,10.45,234.0,31,0.3830628100585937,True,2025-02-14,C
GOOG250214C00180000,2025-02-07 20:43:39+00:00,180.0,8.0,7.85,8.05,817.0,262,0.3286199951171874,True,2025-02-14,C
GOOG250214C00182500,2025-02-07 20:59:23+00:00,182.5,5.99,5.8,6.05,1339.0,82,0.31445998046874996,True,2025-02-14,C
GOOG250214C00185000,2025-02-07 20:59:44+00:00,185.0,4.14,4.05,4.15,3074.0,291,0.2877268493652343,True,2025-02-14,C
GOOG250214C00187500,2025-02-07 20:58:07+00:00,187.5,2.67,2.64,2.7,9338.0,545,0.2779613220214844,False,2025-02-14,C
GOOG250214C00190000,2025-02-07 20:59:51+00:00,190.0,1.61,1.56,1.6,19357.0,2241,0.2688061401367187,False,2025-02-14,C
GOOG250214C00192500,2025-02-07 20:59:47+00:00,192.5,0.88,0.86,0.88,11053.0,2374,0.264655791015625,False,2025-02-14,C
GOOG250214C00195000,2025-02-07 20:59:52+00:00,195.0,0.48,0.47,0.48,10454.0,4654,0.2683178637695312,False,2025-02-14,C
GOOG250214C00197500,2025-02-07 20:59:47+00:00,197.5,0.29,0.27,0.29,3339.0,2038,0.2827220166015625,False,2025-02-14,C
GOOG250214C00200000,2025-02-07 20:57:21+00:00,200.0,0.2,0.18,0.19,6423.0,7033,0.3007882421875,False,2025-02-14,C
GOOG250214C00202500,2025-02-07 20:50:37+00:00,202.5,0.15,0.14,0.16,1269.0,670,0.33301448242187504,False,2025-02-14,C
GOOG250214C00205000,2025-02-07 20:56:34+00:00,205.0,0.11,0.11,0.13,4854.0,5461,0.36035795898437495,False,2025-02-14,C
GOOG250214C00207500,2025-02-07 20:59:47+00:00,207.5,0.1,0.1,0.12,821.0,1711,0.393560751953125,False,2025-02-14,C
GOOG250214C00210000,2025-02-07 20:59:26+00:00,210.0,0.1,0.09,0.14,1068.0,3269,0.4414118359375,False,2025-02-14,C
GOOG250214C00212500,2025-02-07 20:48:27+00:00,212.5,0.08,0.08,0.1,307.0,492,0.45313046875,False,2025-02-14,C
GOOG250214C00215000,2025-02-07 20:35:52+00:00,215.0,0.06,0.07,0.09,277.0,1087,0.4804739453125,False,2025-02-14,C
GOOG250214C00217500,2025-02-07 20:58:53+00:00,217.5,0.07,0.06,0.08,984.0,552,0.50586431640625,False,2025-02-14,C
GOOG250214C00220000,2025-02-07 20:48:08+00:00,220.0,0.05,0.05,0.07,460.0,2335,0.51758294921875,False,2025-02-14,C
GOOG250214C00222500,2025-02-07 20:46:11+00:00,222.5,0.05,0.05,0.07,186.0,2126,0.5468795312500001,False,2025-02-14,C
GOOG250214C00225000,2025-02-07 20:58:53+00:00,225.0,0.05,0.04,0.07,1829.0,2922,0.5722699023437501,False,2025-02-14,C
GOOG250214C00230000,2025-02-07 20:59:49+00:00,230.0,0.04,0.04,0.1,2846.0,1275,0.65039412109375,False,2025-02-14,C
GOOG250214C00235000,2025-02-07 19:47:59+00:00,235.0,0.01,0.01,0.11,350.0,2260,0.6953155468750001,False,2025-02-14,C
GOOG250214C00240000,2025-02-07 20:56:17+00:00,240.0,0.01,0.01,0.02,10.0,471,0.64062859375,False,2025-02-14,C
GOOG250214C00245000,2025-02-07 15:44:06+00:00,245.0,0.01,0.0,0.01,15.0,368,0.6250037500000001,False,2025-02-14,C
GOOG250214C00250000,2025-02-06 17:06:08+00:00,250.0,0.01,0.0,0.01,1.0,867,0.6718782812500002,False,2025-02-14,C
GOOG250214C00255000,2025-02-05 14:37:09+00:00,255.0,0.01,0.0,0.01,17.0,274,0.7187528125,False,2025-02-14,C
GOOG250214C00260000,2025-02-04 20:47:53+00:00,260.0,0.07,0.0,0.02,118.0,128,0.79687703125,False,2025-02-14,C
GOOG250214C00265000,2025-02-05 14:35:56+00:00,265.0,0.01,0.0,0.01,2.0,45,0.7812521875,False,2025-02-14,C
GOOG250214C00270000,2025-02-05 14:30:00+00:00,270.0,0.01,0.0,0.01,1.0,129,0.8281267187499999,False,2025-02-14,C
GOOG250221C00080000,2025-01-06 17:28:07+00:00,80.0,119.48,105.3,109.8,2.0,6,2.150395249023437,True,2025-02-21,C
GOOG250221C00085000,2025-01-31 20:50:00+00:00,85.0,121.15,100.25,104.55,1.0,0,1.876953740234375,True,2025-02-21,C
GOOG250221C00090000,2025-01-16 15:20:30+00:00,90.0,106.92,95.25,99.85,1.0,5,1.876953740234375,True,2025-02-21,C
GOOG250221C00095000,2025-01-23 19:43:21+00:00,95.0,103.57,90.3,94.8,1.0,5,1.751954365234375,True,2025-02-21,C
GOOG250221C00100000,2025-02-06 18:25:52+00:00,100.0,93.49,85.3,89.65,3.0,35,1.5820333398437496,True,2025-02-21,C
GOOG250221C00105000,2025-01-23 19:42:50+00:00,105.0,93.85,80.3,84.55,1.0,114,1.4345731396484376,True,2025-02-21,C
GOOG250221C00110000,2025-02-05 15:56:13+00:00,110.0,81.6,76.35,78.05,3.0,33,1.08203583984375,True,2025-02-21,C
GOOG250221C00115000,2025-02-06 16:03:18+00:00,115.0,78.0,71.4,72.95,1.0,189,0.9414068359375,True,2025-02-21,C
GOOG250221C00120000,2025-02-05 17:54:23+00:00,120.0,72.96,66.35,67.85,4.0,183,1.3339877050781246,True,2025-02-21,C
GOOG250221C00125000,2025-02-05 15:20:18+00:00,125.0,65.47,61.4,62.95,1.0,241,0.7929708203125,True,2025-02-21,C
GOOG250221C00130000,2025-02-07 20:26:46+00:00,130.0,57.52,56.5,57.85,16.0,108,0.7226590234375,True,2025-02-21,C
GOOG250221C00135000,2025-02-07 15:12:17+00:00,135.0,53.75,51.35,53.1,2.0,137,0.726565234375,True,2025-02-21,C
GOOG250221C00140000,2025-02-07 16:40:41+00:00,140.0,46.76,46.4,48.05,11.0,2519,0.6543003320312502,True,2025-02-21,C
GOOG250221C00145000,2025-02-05 19:11:55+00:00,145.0,43.18,41.4,43.15,1.0,1227,0.624027197265625,True,2025-02-21,C
GOOG250221C00150000,2025-02-07 19:23:01+00:00,150.0,37.63,36.4,38.05,11.0,1142,0.51562984375,True,2025-02-21,C
GOOG250221C00155000,2025-02-06 20:36:18+00:00,155.0,38.29,31.45,32.9,20.0,23097,0.6709017285156251,True,2025-02-21,C
GOOG250221C00160000,2025-02-07 17:07:09+00:00,160.0,26.5,26.5,28.0,3.0,1039,0.5996133789062501,True,2025-02-21,C
GOOG250221C00165000,2025-02-07 19:56:54+00:00,165.0,23.1,22.5,23.0,18.0,3091,0.508793974609375,True,2025-02-21,C
GOOG250221C00170000,2025-02-07 20:56:04+00:00,170.0,17.77,17.55,17.95,117.0,3738,0.4101621484375,True,2025-02-21,C
GOOG250221C00172500,2025-02-07 15:37:30+00:00,172.5,16.0,14.5,15.85,21.0,101,0.41480077392578124,True,2025-02-21,C
GOOG250221C00175000,2025-02-07 20:38:01+00:00,175.0,13.15,12.25,13.2,149.0,1854,0.3481510498046875,True,2025-02-21,C
GOOG250221C00177500,2025-02-07 20:54:50+00:00,177.5,10.77,10.55,10.9,150.0,54,0.3189765368652343,True,2025-02-21,C
GOOG250221C00180000,2025-02-07 20:49:51+00:00,180.0,8.7,7.65,9.45,446.0,2191,0.35596347167968745,True,2025-02-21,C
GOOG250221C00182500,2025-02-07 20:28:20+00:00,182.5,6.8,6.75,6.85,86.0,304,0.2854075366210937,True,2025-02-21,C
GOOG250221C00185000,2025-02-07 20:57:03+00:00,185.0,5.1,5.05,5.15,1547.0,2577,0.274421318359375,True,2025-02-21,C
GOOG250221C00187500,2025-02-07 20:59:54+00:00,187.5,3.7,3.65,3.75,2096.0,315,0.2683178637695312,False,2025-02-21,C
GOOG250221C00190000,2025-02-07 20:59:41+00:00,190.0,2.58,2.32,2.58,6249.0,6418,0.260749580078125,False,2025-02-21,C
GOOG250221C00192500,2025-02-07 20:59:31+00:00,192.5,1.72,1.46,1.72,2998.0,1390,0.2573316455078125,False,2025-02-21,C
GOOG250221C00195000,2025-02-07 20:56:24+00:00,195.0,1.11,1.05,1.11,4470.0,6053,0.2559888854980469,False,2025-02-21,C
GOOG250221C00197500,2025-02-07 20:55:41+00:00,197.5,0.72,0.68,0.72,1440.0,3105,0.2590406127929688,False,2025-02-21,C
GOOG250221C00200000,2025-02-07 20:59:20+00:00,200.0,0.46,0.45,0.48,6666.0,13751,0.26563234375,False,2025-02-21,C
GOOG250221C00202500,2025-02-07 20:57:12+00:00,202.5,0.34,0.31,0.34,641.0,1155,0.27637442382812494,False,2025-02-21,C
GOOG250221C00205000,2025-02-07 20:58:23+00:00,205.0,0.26,0.23,0.26,2331.0,6915,0.2910227148437499,False,2025-02-21,C
GOOG250221C00207500,2025-02-07 20:58:53+00:00,207.5,0.2,0.17,0.21,277.0,1101,0.30762411132812495,False,2025-02-21,C
GOOG250221C00210000,2025-02-07 20:54:37+00:00,210.0,0.16,0.16,0.18,726.0,7186,0.3266668896484375,False,2025-02-21,C
GOOG250221C00212500,2025-02-07 20:32:19+00:00,212.5,0.14,0.14,0.16,34.0,1017,0.34668622070312494,False,2025-02-21,C
GOOG250221C00215000,2025-02-07 20:57:31+00:00,215.0,0.12,0.12,0.13,233.0,6149,0.35938140625,False,2025-02-21,C
GOOG250221C00217500,2025-02-07 20:04:48+00:00,217.5,0.11,0.1,0.12,39.0,1304,0.379889013671875,False,2025-02-21,C
GOOG250221C00220000,2025-02-07 20:47:39+00:00,220.0,0.1,0.09,0.12,293.0,9021,0.40332627929687503,False,2025-02-21,C
GOOG250221C00225000,2025-02-07 20:43:00+00:00,225.0,0.07,0.07,0.1,250.0,3088,0.43848217773437503,False,2025-02-21,C
GOOG250221C00230000,2025-02-07 19:59:24+00:00,230.0,0.06,0.05,0.08,2113.0,2533,0.467778759765625,False,2025-02-21,C
GOOG250221C00235000,2025-02-07 19:10:56+00:00,235.0,0.04,0.03,0.07,342.0,1012,0.500005,False,2025-02-21,C
GOOG250221C00240000,2025-02-07 20:21:52+00:00,240.0,0.02,0.01,0.06,81.0,743,0.5293015820312501,False,2025-02-21,C
GOOG250221C00245000,2025-02-07 20:59:40+00:00,245.0,0.03,0.02,0.04,150.0,784,0.523442265625,False,2025-02-21,C
GOOG250221C00250000,2025-02-07 20:58:11+00:00,250.0,0.02,0.01,0.04,8.0,1355,0.5468795312500001,False,2025-02-21,C
GOOG250221C00255000,2025-02-07 19:40:52+00:00,255.0,0.01,0.0,0.04,151.0,269,0.570316796875,False,2025-02-21,C
GOOG250221C00260000,2025-02-07 20:52:26+00:00,260.0,0.01,0.0,0.03,65.0,208,0.585941640625,False,2025-02-21,C
GOOG250221C00265000,2025-02-07 20:51:55+00:00,265.0,0.01,0.0,0.03,45.0,238,0.6171913281250001,False,2025-02-21,C
GOOG250221C00270000,2025-02-06 20:12:46+00:00,270.0,0.01,0.0,0.03,6.0,593,0.64062859375,False,2025-02-21,C
GOOG250221C00275000,2025-02-05 14:30:05+00:00,275.0,0.05,0.0,0.01,3.0,27,0.6093789062500001,False,2025-02-21,C
GOOG250221C00280000,2025-02-03 18:18:35+00:00,280.0,0.04,0.0,0.02,2.0,135,0.6718782812500002,False,2025-02-21,C
GOOG250221C00285000,2025-02-04 14:49:58+00:00,285.0,0.02,0.0,0.02,11.0,27,0.70312796875,False,2025-02-21,C
GOOG250221C00290000,2025-01-22 19:26:46+00:00,290.0,0.02,0.0,0.02,13.0,78,0.73437765625,False,2025-02-21,C
GOOG250221C00295000,2025-02-04 18:14:13+00:00,295.0,0.02,0.0,0.01,2.0,77,0.7187528125,False,2025-02-21,C
GOOG250221C00300000,2025-02-03 18:26:02+00:00,300.0,0.01,0.0,0.01,40.0,597,0.73437765625,False,2025-02-21,C
GOOG250228C00130000,2025-02-05 19:06:04+00:00,130.0,62.74,56.3,58.35,1.0,0,0.729494892578125,True,2025-02-28,C
GOOG250228C00140000,2025-02-05 14:48:51+00:00,140.0,53.5,46.35,48.3,2.0,4,0.5976602734375001,True,2025-02-28,C
GOOG250228C00145000,2025-02-06 17:14:08+00:00,145.0,47.92,41.4,43.25,4.0,5,0.534184345703125,True,2025-02-28,C
GOOG250228C00150000,2025-02-07 19:22:29+00:00,150.0,37.7,36.4,38.25,4.0,31,0.6813996704101564,True,2025-02-28,C
GOOG250228C00160000,2025-02-07 20:53:49+00:00,160.0,27.49,26.6,28.35,4.0,7,0.5373581420898439,True,2025-02-28,C
GOOG250228C00165000,2025-02-04 20:54:15+00:00,165.0,23.0,22.6,23.5,1.0,36,0.47510290527343746,True,2025-02-28,C
GOOG250228C00170000,2025-02-07 16:24:36+00:00,170.0,17.4,17.2,18.4,9.0,69,0.38403936279296874,True,2025-02-28,C
GOOG250228C00175000,2025-02-06 20:46:18+00:00,175.0,13.4,13.25,14.0,3.0,58,0.35242346801757807,True,2025-02-28,C
GOOG250228C00180000,2025-02-07 19:09:30+00:00,180.0,9.5,9.45,9.6,68.0,137,0.3006661730957031,True,2025-02-28,C
GOOG250228C00185000,2025-02-07 20:56:48+00:00,185.0,6.15,6.05,6.2,1099.0,318,0.284064776611328,True,2025-02-28,C
GOOG250228C00190000,2025-02-07 20:59:55+00:00,190.0,3.6,3.5,3.6,1258.0,779,0.27149166015625,False,2025-02-28,C
GOOG250228C00195000,2025-02-07 20:57:58+00:00,195.0,1.88,1.65,1.9,4410.0,2602,0.26538820556640624,False,2025-02-28,C
GOOG250228C00200000,2025-02-07 20:57:09+00:00,200.0,0.95,0.9,0.97,3789.0,2837,0.26782958740234375,False,2025-02-28,C
GOOG250228C00205000,2025-02-07 20:53:49+00:00,205.0,0.54,0.49,0.53,2473.0,1579,0.28003649658203117,False,2025-02-28,C
GOOG250228C00210000,2025-02-07 20:58:30+00:00,210.0,0.33,0.3,0.34,1338.0,2069,0.301764794921875,False,2025-02-28,C
GOOG250228C00215000,2025-02-07 20:53:30+00:00,215.0,0.23,0.2,0.25,204.0,1065,0.32910827148437494,False,2025-02-28,C
GOOG250228C00220000,2025-02-07 20:44:45+00:00,220.0,0.17,0.15,0.19,207.0,5906,0.3544986425781249,False,2025-02-28,C
GOOG250228C00225000,2025-02-07 20:47:11+00:00,225.0,0.13,0.13,0.14,78.0,792,0.375982802734375,False,2025-02-28,C
GOOG250228C00230000,2025-02-07 17:08:56+00:00,230.0,0.08,0.1,0.11,17.0,495,0.398443515625,False,2025-02-28,C
GOOG250228C00235000,2025-02-07 17:37:42+00:00,235.0,0.08,0.07,0.11,41.0,1507,0.4335994140625,False,2025-02-28,C
GOOG250228C00240000,2025-02-06 20:59:18+00:00,240.0,0.09,0.05,0.09,11.0,424,0.45508357421875,False,2025-02-28,C
GOOG250228C00245000,2025-02-07 14:56:33+00:00,245.0,0.03,0.04,0.08,17.0,106,0.4804739453125,False,2025-02-28,C
GOOG250228C00250000,2025-02-07 18:00:11+00:00,250.0,0.04,0.03,0.07,4.0,1252,0.5019581054687501,False,2025-02-28,C
GOOG250228C00255000,2025-02-05 16:04:38+00:00,255.0,0.02,0.0,0.06,3.0,95,0.5214891601562499,False,2025-02-28,C
GOOG250228C00260000,2025-02-07 20:13:30+00:00,260.0,0.01,0.0,0.05,15.0,26,0.500005,False,2025-02-28,C
GOOG250228C00265000,2025-02-06 20:58:23+00:00,265.0,0.02,0.01,0.04,287.0,367,0.5273484765625001,False,2025-02-28,C
GOOG250228C00270000,2025-02-07 20:50:55+00:00,270.0,0.01,0.0,0.03,6.0,66,0.523442265625,False,2025-02-28,C
GOOG250307C00155000,2025-01-29 18:15:45+00:00,155.0,42.98,31.6,33.6,,1,0.5627485131835939,True,2025-03-07,C
GOOG250307C00170000,2025-02-07 20:00:08+00:00,170.0,18.85,18.1,18.8,45.0,40,0.3657289990234375,True,2025-03-07,C
GOOG250307C00175000,2025-02-07 18:22:22+00:00,175.0,14.65,13.5,14.35,8.0,104,0.3286199951171874,True,2025-03-07,C
GOOG250307C00180000,2025-02-07 20:02:15+00:00,180.0,10.43,9.85,10.4,75.0,125,0.3050606604003906,True,2025-03-07,C
GOOG250307C00185000,2025-02-07 20:54:10+00:00,185.0,7.05,6.85,7.0,424.0,126,0.2854075366210937,True,2025-03-07,C
GOOG250307C00190000,2025-02-07 20:55:00+00:00,190.0,4.3,4.2,4.45,1286.0,736,0.27686270019531245,False,2025-03-07,C
GOOG250307C00195000,2025-02-07 20:50:47+00:00,195.0,2.62,2.5,2.62,1648.0,1618,0.270515107421875,False,2025-03-07,C
GOOG250307C00200000,2025-02-07 20:59:38+00:00,200.0,1.45,1.4,1.47,4126.0,2420,0.2690502783203125,False,2025-03-07,C
GOOG250307C00205000,2025-02-07 20:56:07+00:00,205.0,0.83,0.79,0.85,449.0,1894,0.2756420092773437,False,2025-03-07,C
GOOG250307C00210000,2025-02-07 20:53:16+00:00,210.0,0.54,0.5,0.56,470.0,1395,0.2924875439453124,False,2025-03-07,C
GOOG250307C00215000,2025-02-07 20:53:16+00:00,215.0,0.36,0.33,0.37,79.0,420,0.30762411132812495,False,2025-03-07,C
GOOG250307C00220000,2025-02-07 18:19:50+00:00,220.0,0.25,0.24,0.28,66.0,691,0.3288641333007812,False,2025-03-07,C
GOOG250307C00225000,2025-02-07 20:13:13+00:00,225.0,0.2,0.18,0.23,161.0,298,0.3530338134765625,False,2025-03-07,C
GOOG250307C00230000,2025-02-07 18:09:28+00:00,230.0,0.12,0.14,0.17,58.0,317,0.36817038085937503,False,2025-03-07,C
GOOG250307C00235000,2025-02-07 15:18:37+00:00,235.0,0.11,0.1,0.16,7.0,217,0.39649041015625003,False,2025-03-07,C
GOOG250307C00240000,2025-02-07 15:02:21+00:00,240.0,0.1,0.09,0.14,2.0,86,0.418951123046875,False,2025-03-07,C
GOOG250307C00245000,2025-02-06 18:15:40+00:00,245.0,0.08,0.06,0.12,1.0,57,0.43848217773437503,False,2025-03-07,C
GOOG250307C00250000,2025-02-07 18:27:42+00:00,250.0,0.06,0.05,0.09,16.0,144,0.44922425781249997,False,2025-03-07,C
GOOG250307C00270000,2025-02-07 20:10:27+00:00,270.0,0.01,0.01,0.24,9.0,12,0.5722699023437501,False,2025-03-07,C
GOOG250314C00180000,2025-02-07 19:09:25+00:00,180.0,10.98,10.7,11.05,273.0,8,0.3043282458496094,True,2025-03-14,C
