contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
VST250207C00085000,2025-01-28 15:31:09+00:00,85.0,58.0,82.25,84.75,,1,3.3984390039062498,True,2025-02-07,C
VST250207C00095000,2025-01-28 15:31:09+00:00,95.0,48.0,72.25,74.75,,1,2.8945340136718753,True,2025-02-07,C
VST250207C00100000,2025-02-03 16:26:08+00:00,100.0,69.52,67.2,69.75,2.0,3,2.60156599609375,True,2025-02-07,C
VST250207C00105000,2025-02-03 16:26:08+00:00,105.0,64.52,62.0,64.6,2.0,21,3.5058606103515624,True,2025-02-07,C
VST250207C00109000,2025-02-03 16:26:20+00:00,109.0,60.55,58.25,60.7,2.0,2,2.2109419726562494,True,2025-02-07,C
VST250207C00110000,2025-01-31 20:18:00+00:00,110.0,59.38,57.2,59.8,3.0,4,2.2187544531249994,True,2025-02-07,C
VST250207C00115000,2025-02-04 15:58:59+00:00,115.0,53.15,52.2,54.5,1.0,47,1.5468772656249998,True,2025-02-07,C
VST250207C00116000,2025-02-03 17:45:43+00:00,116.0,51.45,51.05,53.95,2.0,2,1.97265638671875,True,2025-02-07,C
VST250207C00118000,2025-02-03 18:26:42+00:00,118.0,49.59,49.05,51.8,2.0,0,1.7421887890624999,True,2025-02-07,C
VST250207C00119000,2025-01-28 15:15:38+00:00,119.0,25.25,48.3,50.8,,10,1.9296878515625,True,2025-02-07,C
VST250207C00120000,2025-01-28 15:12:02+00:00,120.0,24.75,47.55,49.5,3.0,36,1.853516357421875,True,2025-02-07,C
VST250207C00125000,2025-01-15 15:09:17+00:00,125.0,52.45,42.15,44.55,1.0,1,1.2343788281249999,True,2025-02-07,C
VST250207C00126000,2025-01-27 17:07:07+00:00,126.0,17.45,41.35,43.4,,2,1.3203158984374999,True,2025-02-07,C
VST250207C00127000,2025-01-29 14:55:29+00:00,127.0,28.26,40.35,42.65,20.0,11,1.5468772656249998,True,2025-02-07,C
VST250207C00128000,2025-01-30 15:01:49+00:00,128.0,37.18,39.45,41.7,,5,1.6035176074218749,True,2025-02-07,C
VST250207C00129000,2025-01-30 15:07:58+00:00,129.0,37.5,38.1,40.7,10.0,6,1.2968785156249998,True,2025-02-07,C
VST250207C00130000,2025-02-03 18:42:54+00:00,130.0,39.0,37.5,39.8,5.0,24,1.5996113769531248,True,2025-02-07,C
VST250207C00131000,2025-01-28 20:28:40+00:00,131.0,17.81,36.7,38.7,,6,1.6035176074218749,True,2025-02-07,C
VST250207C00132000,2025-01-29 15:17:09+00:00,132.0,22.45,35.6,37.3,,21,1.291019169921875,True,2025-02-07,C
VST250207C00133000,2025-01-28 17:48:41+00:00,133.0,12.5,35.0,36.4,,35,1.5214867675781247,True,2025-02-07,C
VST250207C00134000,2025-01-30 17:04:12+00:00,134.0,38.9,33.9,35.75,11.0,16,1.5712912060546875,True,2025-02-07,C
VST250207C00135000,2025-02-04 20:41:27+00:00,135.0,34.45,32.5,34.35,5.0,229,1.1445355273437499,True,2025-02-07,C
VST250207C00136000,2025-01-31 17:11:25+00:00,136.0,34.0,31.75,33.7,1.0,25,1.419924775390625,True,2025-02-07,C
VST250207C00137000,2025-02-03 16:19:50+00:00,137.0,29.0,30.9,32.3,1.0,58,1.2812535937499998,True,2025-02-07,C
VST250207C00138000,2025-02-04 20:51:41+00:00,138.0,30.6,30.2,31.15,2.0,152,1.303714418945312,True,2025-02-07,C
VST250207C00139000,2025-01-31 20:30:03+00:00,139.0,29.2,28.9,30.65,14.0,322,1.3330111474609372,True,2025-02-07,C
VST250207C00140000,2025-02-04 20:19:08+00:00,140.0,28.0,27.95,30.3,2.0,211,1.4775416748046877,True,2025-02-07,C
VST250207C00141000,2025-01-31 17:28:32+00:00,141.0,30.8,27.0,28.65,15.0,52,1.2812535937499998,True,2025-02-07,C
VST250207C00142000,2025-02-04 14:54:27+00:00,142.0,25.0,26.05,27.9,5.0,632,1.3193393408203122,True,2025-02-07,C
VST250207C00143000,2025-02-03 19:44:16+00:00,143.0,28.35,25.05,26.8,11.0,76,1.2519568652343749,True,2025-02-07,C
VST250207C00144000,2025-02-04 14:56:55+00:00,144.0,22.46,24.15,25.5,3.0,315,1.1591838916015624,True,2025-02-07,C
VST250207C00145000,2025-02-04 18:15:45+00:00,145.0,23.55,23.25,24.2,1.0,274,1.0625046875000002,True,2025-02-07,C
VST250207C00146000,2025-01-31 19:03:26+00:00,146.0,18.5,22.2,23.55,1.0,64,1.1025435498046878,True,2025-02-07,C
VST250207C00147000,2025-02-03 15:09:34+00:00,147.0,17.13,21.3,22.35,2.0,104,1.0371141894531253,True,2025-02-07,C
VST250207C00148000,2025-02-04 16:19:29+00:00,148.0,20.83,20.2,22.0,2.0,81,1.1157270776367185,True,2025-02-07,C
VST250207C00149000,2025-01-31 20:25:40+00:00,149.0,20.2,19.15,21.0,2.0,42,1.0625046875000002,True,2025-02-07,C
VST250207C00150000,2025-02-04 18:18:47+00:00,150.0,18.95,18.25,19.45,21.0,1115,0.9267585449218749,True,2025-02-07,C
VST250207C00152500,2025-02-04 15:30:57+00:00,152.5,17.14,16.15,17.4,10.0,82,0.9770510107421876,True,2025-02-07,C
VST250207C00155000,2025-02-04 20:53:43+00:00,155.0,14.6,13.25,15.55,37.0,238,0.8984385156249999,True,2025-02-07,C
VST250207C00157500,2025-02-04 18:31:10+00:00,157.5,12.1,10.95,13.25,12.0,348,0.8305681005859374,True,2025-02-07,C
VST250207C00160000,2025-02-04 20:18:22+00:00,160.0,10.1,10.05,10.8,81.0,692,0.8828136718749999,True,2025-02-07,C
VST250207C00162500,2025-02-04 20:55:36+00:00,162.5,9.05,7.95,8.7,82.0,494,0.813478427734375,True,2025-02-07,C
VST250207C00165000,2025-02-04 20:55:20+00:00,165.0,7.1,5.95,7.0,620.0,813,0.7666038964843751,True,2025-02-07,C
VST250207C00167500,2025-02-04 20:59:08+00:00,167.5,5.55,5.25,5.7,545.0,584,0.8315446533203124,True,2025-02-07,C
VST250207C00170000,2025-02-04 20:59:57+00:00,170.0,4.15,4.15,4.45,1001.0,2547,0.8325212060546874,False,2025-02-07,C
VST250207C00172500,2025-02-04 20:56:08+00:00,172.5,3.31,3.15,3.5,444.0,732,0.834718449707031,False,2025-02-07,C
VST250207C00175000,2025-02-04 20:59:32+00:00,175.0,2.5,2.45,2.6,1624.0,1212,0.8366715551757811,False,2025-02-07,C
VST250207C00177500,2025-02-04 20:59:14+00:00,177.5,1.87,1.75,1.98,205.0,621,0.8344743115234373,False,2025-02-07,C
VST250207C00180000,2025-02-04 20:59:28+00:00,180.0,1.3,1.12,1.35,992.0,2616,0.805666005859375,False,2025-02-07,C
VST250207C00182500,2025-02-04 20:59:31+00:00,182.5,0.86,0.87,1.17,139.0,285,0.848634326171875,False,2025-02-07,C
VST250207C00185000,2025-02-04 20:58:18+00:00,185.0,0.66,0.56,0.69,364.0,1213,0.8164080859374999,False,2025-02-07,C
VST250207C00187500,2025-02-04 20:46:18+00:00,187.5,0.45,0.43,0.54,79.0,416,0.842775009765625,False,2025-02-07,C
VST250207C00190000,2025-02-04 20:56:55+00:00,190.0,0.28,0.29,0.35,256.0,952,0.8378922460937499,False,2025-02-07,C
VST250207C00192500,2025-02-04 20:46:50+00:00,192.5,0.25,0.1,0.3,20.0,553,0.8281267187499999,False,2025-02-07,C
VST250207C00195000,2025-02-04 20:59:13+00:00,195.0,0.16,0.11,0.24,70.0,945,0.8710950390625,False,2025-02-07,C
VST250207C00197500,2025-02-04 20:46:13+00:00,197.5,0.11,0.09,0.19,9.0,229,0.8984385156249999,False,2025-02-07,C
VST250207C00200000,2025-02-04 20:51:28+00:00,200.0,0.09,0.07,0.15,311.0,9199,0.92187578125,False,2025-02-07,C
VST250207C00202500,2025-02-04 19:38:03+00:00,202.5,0.05,0.02,0.1,8.0,91,0.8984385156249999,False,2025-02-07,C
VST250207C00205000,2025-02-04 20:02:11+00:00,205.0,0.05,0.01,0.19,14.0,88,1.017583037109375,False,2025-02-07,C
VST250207C00207500,2025-02-04 20:02:11+00:00,207.5,0.13,0.01,0.21,2.0,10,1.0859420703125,False,2025-02-07,C
VST250207C00210000,2025-02-04 20:43:01+00:00,210.0,0.05,0.02,0.08,10.0,116,1.0234423828125,False,2025-02-07,C
VST250207C00212500,2025-02-04 20:39:11+00:00,212.5,0.01,0.0,0.5,1.0,4,1.3476595117187498,False,2025-02-07,C
VST250207C00215000,2025-02-03 18:44:24+00:00,215.0,0.07,0.0,0.09,15.0,322,1.1015669921875002,False,2025-02-07,C
VST250207C00217500,2025-02-03 20:35:32+00:00,217.5,0.05,0.0,1.28,1.0,9,1.7285169824218751,False,2025-02-07,C
VST250207C00220000,2025-02-04 15:58:54+00:00,220.0,0.08,0.0,0.46,129.0,254,1.4882838085937498,False,2025-02-07,C
VST250207C00222500,2025-01-27 15:35:28+00:00,222.5,0.1,0.0,1.27,,3,1.8437507812499998,False,2025-02-07,C
