contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
VST250207C00085000,2025-01-28 15:31:09+00:00,85.0,58.0,82.6,86.55,,1,8.914066928710936,True,2025-02-07,C
VST250207C00095000,2025-01-28 15:31:09+00:00,95.0,48.0,72.75,76.5,,1,7.628906713867188,True,2025-02-07,C
VST250207C00100000,2025-02-03 16:26:08+00:00,100.0,69.52,68.45,71.5,2.0,3,4.3281295898437495,True,2025-02-07,C
VST250207C00105000,2025-02-03 16:26:08+00:00,105.0,64.52,63.45,66.5,2.0,21,3.9609375976562498,True,2025-02-07,C
VST250207C00109000,2025-02-03 16:26:20+00:00,109.0,60.55,59.45,62.5,2.0,2,3.67968830078125,True,2025-02-07,C
VST250207C00110000,2025-01-31 20:18:00+00:00,110.0,59.38,58.45,61.5,3.0,4,3.6093759765625,True,2025-02-07,C
VST250207C00115000,2025-02-04 15:58:59+00:00,115.0,53.15,53.45,56.5,1.0,46,3.281251796875,True,2025-02-07,C
VST250207C00116000,2025-02-03 17:45:43+00:00,116.0,51.45,52.45,55.5,2.0,2,3.2187519531249995,True,2025-02-07,C
VST250207C00118000,2025-02-03 18:26:42+00:00,118.0,49.59,50.45,53.5,2.0,0,3.0859397851562496,True,2025-02-07,C
VST250207C00119000,2025-01-28 15:15:38+00:00,119.0,25.25,48.75,52.5,,10,5.117191103515625,True,2025-02-07,C
VST250207C00120000,2025-01-28 15:12:02+00:00,120.0,24.75,48.1,51.5,3.0,36,5.022464659423829,True,2025-02-07,C
VST250207C00125000,2025-01-15 15:09:17+00:00,125.0,52.45,43.0,46.55,1.0,1,4.5937542578125,True,2025-02-07,C
VST250207C00126000,2025-01-27 17:07:07+00:00,126.0,17.45,42.45,45.5,,2,2.58594103515625,True,2025-02-07,C
VST250207C00127000,2025-01-29 14:55:29+00:00,127.0,28.26,41.45,44.55,20.0,11,2.6093784765625,True,2025-02-07,C
VST250207C00128000,2025-01-30 15:01:49+00:00,128.0,37.18,40.0,43.55,,5,4.3183639770507805,True,2025-02-07,C
VST250207C00129000,2025-01-30 15:07:58+00:00,129.0,37.5,39.45,42.5,10.0,6,2.4062539843749997,True,2025-02-07,C
VST250207C00130000,2025-02-05 15:02:21+00:00,130.0,42.02,38.45,41.55,1.0,24,2.42969142578125,True,2025-02-07,C
VST250207C00131000,2025-01-28 20:28:40+00:00,131.0,17.81,37.45,40.55,,6,2.3671915820312495,True,2025-02-07,C
VST250207C00132000,2025-01-29 15:17:09+00:00,132.0,22.45,36.65,39.15,,21,1.8437507812499998,True,2025-02-07,C
VST250207C00133000,2025-01-28 17:48:41+00:00,133.0,12.5,35.3,37.9,,35,3.388673403320312,True,2025-02-07,C
VST250207C00134000,2025-01-30 17:04:12+00:00,134.0,38.9,34.3,37.5,11.0,16,1.75000125,True,2025-02-07,C
VST250207C00135000,2025-02-06 19:15:57+00:00,135.0,34.05,33.5,35.6,200.0,229,2.966799458007812,True,2025-02-07,C
VST250207C00136000,2025-02-05 20:14:31+00:00,136.0,37.23,32.25,35.5,2.0,23,3.57031357421875,True,2025-02-07,C
VST250207C00137000,2025-02-05 18:34:04+00:00,137.0,37.7,31.5,33.85,4.0,57,3.027346181640625,True,2025-02-07,C
VST250207C00138000,2025-02-04 20:51:41+00:00,138.0,30.6,30.25,32.6,2.0,151,2.740237524414063,True,2025-02-07,C
VST250207C00139000,2025-02-05 20:16:42+00:00,139.0,35.17,29.7,31.65,1.0,321,2.707034482421875,True,2025-02-07,C
VST250207C00140000,2025-02-05 16:50:05+00:00,140.0,33.0,28.55,31.45,3.0,208,1.8320320898437497,True,2025-02-07,C
VST250207C00141000,2025-02-06 14:37:04+00:00,141.0,30.84,27.7,30.75,9.0,44,2.138676528320312,True,2025-02-07,C
VST250207C00142000,2025-02-05 20:24:22+00:00,142.0,32.33,25.8,29.55,5.0,631,3.0771507446289057,True,2025-02-07,C
VST250207C00143000,2025-02-06 20:43:45+00:00,143.0,27.66,25.35,28.1,2.0,76,2.7207063232421875,True,2025-02-07,C
VST250207C00144000,2025-02-05 20:28:33+00:00,144.0,30.24,24.9,26.85,1.0,315,2.474613188476563,True,2025-02-07,C
VST250207C00145000,2025-02-05 20:14:51+00:00,145.0,28.5,24.05,26.3,3.0,271,1.8144540527343749,True,2025-02-07,C
VST250207C00146000,2025-02-05 16:44:48+00:00,146.0,26.18,22.95,25.0,9.0,64,1.43359658203125,True,2025-02-07,C
VST250207C00147000,2025-02-06 20:39:29+00:00,147.0,23.45,21.85,24.15,4.0,104,1.4296903515625,True,2025-02-07,C
VST250207C00148000,2025-02-05 16:19:33+00:00,148.0,24.3,20.95,23.45,1.0,79,1.6484392578125,True,2025-02-07,C
VST250207C00149000,2025-02-05 18:34:06+00:00,149.0,25.9,19.95,22.3,6.0,44,1.5000025,True,2025-02-07,C
VST250207C00150000,2025-02-06 20:46:52+00:00,150.0,19.6,19.2,20.75,45.0,929,1.2109414453124998,True,2025-02-07,C
VST250207C00152500,2025-02-05 18:43:01+00:00,152.5,16.61,16.5,18.8,1.0,83,1.3066440917968747,True,2025-02-07,C
VST250207C00155000,2025-02-06 18:32:16+00:00,155.0,13.9,14.0,15.4,39.0,219,1.3466829541015621,True,2025-02-07,C
VST250207C00157500,2025-02-05 20:07:21+00:00,157.5,13.43,11.4,13.35,3.0,323,1.4160185449218752,True,2025-02-07,C
VST250207C00160000,2025-02-06 20:40:01+00:00,160.0,10.58,9.35,10.4,59.0,614,0.9882813671875,True,2025-02-07,C
VST250207C00162500,2025-02-06 19:27:46+00:00,162.5,6.27,6.8,8.8,16.0,2386,0.7500025,True,2025-02-07,C
VST250207C00165000,2025-02-06 20:40:01+00:00,165.0,5.4,5.35,6.6,96.0,723,0.831056376953125,True,2025-02-07,C
VST250207C00167500,2025-02-06 20:40:53+00:00,167.5,4.45,3.7,4.5,203.0,2496,0.780275634765625,True,2025-02-07,C
VST250207C00170000,2025-02-06 20:57:42+00:00,170.0,2.15,2.17,2.58,1191.0,2431,0.6860382958984376,False,2025-02-07,C
VST250207C00172500,2025-02-06 20:59:21+00:00,172.5,1.4,1.27,1.57,888.0,1001,0.7041045214843751,False,2025-02-07,C
VST250207C00175000,2025-02-06 20:59:27+00:00,175.0,0.76,0.65,0.84,1583.0,1471,0.6997100341796876,False,2025-02-07,C
VST250207C00177500,2025-02-06 20:52:44+00:00,177.5,0.3,0.3,0.56,621.0,687,0.7382838671874999,False,2025-02-07,C
VST250207C00180000,2025-02-06 20:59:30+00:00,180.0,0.16,0.16,0.2,6250.0,3101,0.7216824707031251,False,2025-02-07,C
VST250207C00182500,2025-02-06 20:54:31+00:00,182.5,0.21,0.05,0.29,188.0,313,0.84179845703125,False,2025-02-07,C
VST250207C00185000,2025-02-06 20:57:23+00:00,185.0,0.07,0.04,0.07,229.0,1177,0.79687703125,False,2025-02-07,C
VST250207C00187500,2025-02-06 20:13:41+00:00,187.5,0.05,0.02,0.1,177.0,746,0.9101571484375,False,2025-02-07,C
VST250207C00190000,2025-02-06 20:57:29+00:00,190.0,0.01,0.01,0.11,215.0,858,1.015629921875,False,2025-02-07,C
VST250207C00192500,2025-02-06 18:07:33+00:00,192.5,0.04,0.0,0.2,28.0,736,1.203128984375,False,2025-02-07,C
VST250207C00195000,2025-02-06 19:03:55+00:00,195.0,0.03,0.02,0.04,49.0,927,1.109379453125,False,2025-02-07,C
VST250207C00197500,2025-02-05 19:30:20+00:00,197.5,0.09,0.01,0.09,13.0,224,1.2734411328124997,False,2025-02-07,C
VST250207C00200000,2025-02-06 20:52:42+00:00,200.0,0.02,0.01,0.05,228.0,9150,1.2812535937499998,False,2025-02-07,C
VST250207C00202500,2025-02-06 18:36:21+00:00,202.5,0.02,0.0,0.02,11.0,94,1.21875390625,False,2025-02-07,C
VST250207C00205000,2025-02-06 18:04:23+00:00,205.0,0.07,0.01,0.2,20.0,85,1.703126484375,False,2025-02-07,C
VST250207C00207500,2025-02-05 14:33:44+00:00,207.5,0.23,0.0,1.47,1.0,11,2.549808312988281,False,2025-02-07,C
VST250207C00210000,2025-02-06 18:41:19+00:00,210.0,0.02,0.0,0.1,25.0,111,1.7109389453125,False,2025-02-07,C
VST250207C00212500,2025-02-04 20:39:11+00:00,212.5,0.01,0.0,1.15,1.0,3,2.6347690380859374,False,2025-02-07,C
VST250207C00215000,2025-02-05 14:33:44+00:00,215.0,0.18,0.0,0.3,1.0,322,2.1679733300781248,False,2025-02-07,C
