contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
GOOG250214C00130000,2025-02-03 15:24:20+00:00,130.0,57.14,56.2,57.7,1.0,4,1.64453302734375,True,2025-02-14,C
GOOG250214C00135000,2025-01-29 17:36:14+00:00,135.0,62.2,51.25,53.0,,0,1.6386736816406249,True,2025-02-14,C
GOOG250214C00140000,2025-02-05 19:19:49+00:00,140.0,52.64,46.4,47.95,7.0,6,0.8984385156249999,True,2025-02-14,C
GOOG250214C00145000,2025-02-07 15:29:38+00:00,145.0,43.4,41.25,43.0,3.0,1,1.341311887207031,True,2025-02-14,C
GOOG250214C00150000,2025-02-07 19:25:23+00:00,150.0,37.38,36.25,37.85,7.0,12,1.1455120849609375,True,2025-02-14,C
GOOG250214C00155000,2025-02-07 18:37:29+00:00,155.0,32.3,31.25,33.05,7.0,5,0.5312546875,True,2025-02-14,C
GOOG250214C00160000,2025-02-07 16:57:43+00:00,160.0,25.7,26.3,27.85,15.0,71,0.8730481445312499,True,2025-02-14,C
GOOG250214C00165000,2025-02-07 16:58:25+00:00,165.0,22.05,21.75,22.7,5.0,62,0.6958038232421876,True,2025-02-14,C
GOOG250214C00170000,2025-02-07 17:57:46+00:00,170.0,17.72,16.45,17.95,26.0,232,0.6264685791015626,True,2025-02-14,C
GOOG250214C00175000,2025-02-07 20:17:47+00:00,175.0,12.6,11.6,12.8,292.0,33,0.4558159887695313,True,2025-02-14,C
GOOG250214C00177500,2025-02-07 19:57:54+00:00,177.5,10.5,9.95,10.45,234.0,31,0.41358008300781246,True,2025-02-14,C
GOOG250214C00180000,2025-02-07 20:43:39+00:00,180.0,8.0,7.85,8.05,817.0,262,0.35474278076171867,True,2025-02-14,C
GOOG250214C00182500,2025-02-07 20:59:23+00:00,182.5,5.99,5.8,6.05,1339.0,82,0.33960621337890623,True,2025-02-14,C
GOOG250214C00185000,2025-02-07 20:59:44+00:00,185.0,4.14,4.05,4.15,3074.0,291,0.3107979077148437,True,2025-02-14,C
GOOG250214C00187500,2025-02-07 20:58:07+00:00,187.5,2.67,2.64,2.7,9338.0,545,0.3002999658203125,False,2025-02-14,C
GOOG250214C00190000,2025-02-07 20:59:51+00:00,190.0,1.61,1.56,1.6,19357.0,2241,0.2902903002929687,False,2025-02-14,C
GOOG250214C00192500,2025-02-07 20:59:47+00:00,192.5,0.88,0.86,0.88,11053.0,2374,0.28565167480468745,False,2025-02-14,C
GOOG250214C00195000,2025-02-07 20:59:52+00:00,195.0,0.48,0.47,0.48,10454.0,4654,0.2898020239257812,False,2025-02-14,C
GOOG250214C00197500,2025-02-07 20:59:47+00:00,197.5,0.29,0.27,0.29,3339.0,2038,0.3051827294921875,False,2025-02-14,C
GOOG250214C00200000,2025-02-07 20:57:21+00:00,200.0,0.2,0.18,0.19,6423.0,7033,0.32520206054687495,False,2025-02-14,C
GOOG250214C00202500,2025-02-07 20:50:37+00:00,202.5,0.15,0.14,0.16,1269.0,670,0.35938140625,False,2025-02-14,C
GOOG250214C00205000,2025-02-07 20:56:34+00:00,205.0,0.11,0.11,0.13,4854.0,5461,0.38867798828125,False,2025-02-14,C
GOOG250214C00207500,2025-02-07 20:59:47+00:00,207.5,0.1,0.1,0.12,821.0,1711,0.424810439453125,False,2025-02-14,C
GOOG250214C00210000,2025-02-07 20:59:26+00:00,210.0,0.1,0.09,0.14,1068.0,3269,0.477544287109375,False,2025-02-14,C
GOOG250214C00212500,2025-02-07 20:48:27+00:00,212.5,0.08,0.08,0.1,307.0,492,0.49023947265625006,False,2025-02-14,C
GOOG250214C00215000,2025-02-07 20:35:52+00:00,215.0,0.06,0.07,0.09,277.0,1087,0.5097705273437501,False,2025-02-14,C
GOOG250214C00217500,2025-02-07 20:58:53+00:00,217.5,0.07,0.06,0.08,984.0,552,0.5351608984375,False,2025-02-14,C
GOOG250214C00220000,2025-02-07 20:48:08+00:00,220.0,0.05,0.05,0.07,460.0,2335,0.5585981640625001,False,2025-02-14,C
GOOG250214C00222500,2025-02-07 20:46:11+00:00,222.5,0.05,0.05,0.07,186.0,2126,0.5918009570312501,False,2025-02-14,C
GOOG250214C00225000,2025-02-07 20:58:53+00:00,225.0,0.05,0.04,0.07,1829.0,2922,0.6171913281250001,False,2025-02-14,C
GOOG250214C00230000,2025-02-07 20:59:49+00:00,230.0,0.04,0.04,0.1,2846.0,1275,0.70312796875,False,2025-02-14,C
GOOG250214C00235000,2025-02-07 19:47:59+00:00,235.0,0.01,0.01,0.11,350.0,2260,0.7500025,False,2025-02-14,C
GOOG250214C00240000,2025-02-07 20:56:17+00:00,240.0,0.01,0.01,0.02,10.0,471,0.6953155468750001,False,2025-02-14,C
GOOG250214C00245000,2025-02-07 15:44:06+00:00,245.0,0.01,0.0,0.01,15.0,368,0.6875031250000001,False,2025-02-14,C
GOOG250214C00250000,2025-02-06 17:06:08+00:00,250.0,0.01,0.0,0.01,1.0,867,0.7187528125,False,2025-02-14,C
GOOG250214C00255000,2025-02-05 14:37:09+00:00,255.0,0.01,0.0,0.01,17.0,274,0.7656273437500001,False,2025-02-14,C
GOOG250214C00260000,2025-02-04 20:47:53+00:00,260.0,0.07,0.0,0.02,118.0,128,0.85937640625,False,2025-02-14,C
GOOG250214C00265000,2025-02-05 14:35:56+00:00,265.0,0.01,0.0,0.01,2.0,45,0.8437515624999999,False,2025-02-14,C
GOOG250214C00270000,2025-02-05 14:30:00+00:00,270.0,0.01,0.0,0.01,1.0,129,0.9062509375,False,2025-02-14,C
GOOG250221C00080000,2025-01-06 17:28:07+00:00,80.0,119.48,105.3,109.8,2.0,6,2.231449733886718,True,2025-02-21,C
GOOG250221C00085000,2025-01-31 20:50:00+00:00,85.0,121.15,100.25,104.55,1.0,0,1.9472658886718752,True,2025-02-21,C
GOOG250221C00090000,2025-01-16 15:20:30+00:00,90.0,106.92,95.25,99.85,1.0,5,1.9482424462890626,True,2025-02-21,C
GOOG250221C00095000,2025-01-23 19:43:21+00:00,95.0,103.57,90.3,94.8,1.0,5,1.818360283203125,True,2025-02-21,C
GOOG250221C00100000,2025-02-06 18:25:52+00:00,100.0,93.49,85.3,89.65,3.0,35,1.640626796875,True,2025-02-21,C
GOOG250221C00105000,2025-01-23 19:42:50+00:00,105.0,93.85,80.3,84.55,1.0,114,1.4882838085937498,True,2025-02-21,C
GOOG250221C00110000,2025-02-05 15:56:13+00:00,110.0,81.6,76.35,78.05,3.0,33,1.125004375,True,2025-02-21,C
GOOG250221C00115000,2025-02-06 16:03:18+00:00,115.0,78.0,71.4,72.95,1.0,189,0.9765627343750001,True,2025-02-21,C
GOOG250221C00120000,2025-02-05 17:54:23+00:00,120.0,72.96,66.35,67.85,4.0,183,1.3842804223632812,True,2025-02-21,C
GOOG250221C00125000,2025-02-05 15:20:18+00:00,125.0,65.47,61.4,62.95,1.0,241,0.8203142968749999,True,2025-02-21,C
GOOG250221C00130000,2025-02-07 20:26:46+00:00,130.0,57.52,56.5,57.85,16.0,108,0.7500025,True,2025-02-21,C
GOOG250221C00135000,2025-02-07 15:12:17+00:00,135.0,53.75,51.35,53.1,2.0,137,0.7539087109375,True,2025-02-21,C
GOOG250221C00140000,2025-02-07 16:40:41+00:00,140.0,46.76,46.4,48.05,11.0,2519,0.6796907031250001,True,2025-02-21,C
GOOG250221C00145000,2025-02-05 19:11:55+00:00,145.0,43.18,41.4,43.15,1.0,1227,0.647464462890625,True,2025-02-21,C
GOOG250221C00150000,2025-02-07 19:23:01+00:00,150.0,37.63,36.4,38.05,11.0,1142,0.5351608984375,True,2025-02-21,C
GOOG250221C00155000,2025-02-06 20:36:18+00:00,155.0,38.29,31.45,32.9,20.0,23097,0.6962920996093751,True,2025-02-21,C
GOOG250221C00160000,2025-02-07 17:07:09+00:00,160.0,26.5,26.5,28.0,3.0,1039,0.6225623681640625,True,2025-02-21,C
GOOG250221C00165000,2025-02-07 19:56:54+00:00,165.0,23.1,22.5,23.0,18.0,3091,0.5278367529296876,True,2025-02-21,C
GOOG250221C00170000,2025-02-07 20:56:04+00:00,170.0,17.77,17.55,17.95,117.0,3738,0.4255428540039063,True,2025-02-21,C
GOOG250221C00172500,2025-02-07 15:37:30+00:00,172.5,16.0,14.5,15.85,21.0,101,0.4304256176757813,True,2025-02-21,C
GOOG250221C00175000,2025-02-07 20:38:01+00:00,175.0,13.15,12.25,13.2,149.0,1854,0.36133451171875,True,2025-02-21,C
GOOG250221C00177500,2025-02-07 20:54:50+00:00,177.5,10.77,10.55,10.9,150.0,54,0.331061376953125,True,2025-02-21,C
GOOG250221C00180000,2025-02-07 20:49:51+00:00,180.0,8.7,7.65,9.45,446.0,2191,0.3695131408691406,True,2025-02-21,C
GOOG250221C00182500,2025-02-07 20:28:20+00:00,182.5,6.8,6.75,6.85,86.0,304,0.29614961669921874,True,2025-02-21,C
GOOG250221C00185000,2025-02-07 20:57:03+00:00,185.0,5.1,5.05,5.15,1547.0,2577,0.28479719116210933,True,2025-02-21,C
GOOG250221C00187500,2025-02-07 20:59:54+00:00,187.5,3.7,3.65,3.75,2096.0,315,0.2784495983886719,False,2025-02-21,C
GOOG250221C00190000,2025-02-07 20:59:41+00:00,190.0,2.58,2.32,2.58,6249.0,6418,0.2706371765136719,False,2025-02-21,C
GOOG250221C00192500,2025-02-07 20:59:31+00:00,192.5,1.72,1.46,1.72,2998.0,1390,0.26709717285156254,False,2025-02-21,C
GOOG250221C00195000,2025-02-07 20:56:24+00:00,195.0,1.11,1.05,1.11,4470.0,6053,0.26563234375,False,2025-02-21,C
GOOG250221C00197500,2025-02-07 20:55:41+00:00,197.5,0.72,0.68,0.72,1440.0,3105,0.2688061401367187,False,2025-02-21,C
GOOG250221C00200000,2025-02-07 20:59:20+00:00,200.0,0.46,0.45,0.48,6666.0,13751,0.2756420092773437,False,2025-02-21,C
GOOG250221C00202500,2025-02-07 20:57:12+00:00,202.5,0.34,0.31,0.34,641.0,1155,0.2866282275390625,False,2025-02-21,C
GOOG250221C00205000,2025-02-07 20:58:23+00:00,205.0,0.26,0.23,0.26,2331.0,6915,0.30225307128906254,False,2025-02-21,C
GOOG250221C00207500,2025-02-07 20:58:53+00:00,207.5,0.2,0.17,0.21,277.0,1101,0.3193427441406249,False,2025-02-21,C
GOOG250221C00210000,2025-02-07 20:54:37+00:00,210.0,0.16,0.16,0.18,726.0,7186,0.33887379882812496,False,2025-02-21,C
