contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
SOFI250214C00005000,2025-02-07 15:28:06+00:00,5.0,10.0,9.6,11.45,5.0,2.0,8.851566967773438,True,2025-02-14,C
SOFI250214C00007000,2025-02-03 15:52:37+00:00,7.0,8.55,7.3,8.45,20.0,30.0,6.175783530273437,True,2025-02-14,C
SOFI250214C00007500,2025-02-07 14:34:43+00:00,7.5,7.6,7.1,8.3,2.0,9.0,4.710941611328124,True,2025-02-14,C
SOFI250214C00008000,2025-02-05 15:50:33+00:00,8.0,7.46,6.3,7.75,2.0,126.0,3.44531388671875,True,2025-02-14,C
SOFI250214C00009000,2025-02-07 20:17:30+00:00,9.0,5.84,5.75,6.6,2.0,180.0,3.5781260546875,True,2025-02-14,C
SOFI250214C00010000,2025-02-07 20:55:57+00:00,10.0,4.97,4.25,5.5,23.0,210.0,3.93750015625,True,2025-02-14,C
SOFI250214C00010500,2025-02-06 17:23:32+00:00,10.5,4.35,3.5,4.95,30.0,72.0,3.4726575683593754,True,2025-02-14,C
SOFI250214C00011000,2025-02-07 15:03:01+00:00,11.0,4.0,3.8,4.85,1.0,28.0,2.847659130859375,True,2025-02-14,C
SOFI250214C00011500,2025-02-07 17:09:47+00:00,11.5,3.6,2.89,4.0,11.0,60.0,1.2968785156249998,True,2025-02-14,C
SOFI250214C00012000,2025-02-07 20:16:02+00:00,12.0,2.9,2.5,3.6,180.0,263.0,1.5625021874999998,True,2025-02-14,C
SOFI250214C00012500,2025-02-07 17:40:32+00:00,12.5,2.69,2.2,2.89,17.0,170.0,1.3281283593749997,True,2025-02-14,C
SOFI250214C00013000,2025-02-07 20:18:39+00:00,13.0,1.92,1.77,1.98,191.0,240.0,0.914063359375,True,2025-02-14,C
SOFI250214C00013500,2025-02-07 20:55:51+00:00,13.5,1.5,1.4,1.59,143.0,372.0,0.7656273437500001,True,2025-02-14,C
SOFI250214C00014000,2025-02-07 20:59:05+00:00,14.0,1.06,0.93,1.07,952.0,1079.0,0.570316796875,True,2025-02-14,C
SOFI250214C00014500,2025-02-07 20:59:51+00:00,14.5,0.68,0.68,0.74,664.0,1495.0,0.6953155468750001,True,2025-02-14,C
SOFI250214C00015000,2025-02-07 20:59:27+00:00,15.0,0.4,0.4,0.42,4010.0,4620.0,0.648441015625,False,2025-02-14,C
SOFI250214C00015500,2025-02-07 20:59:59+00:00,15.5,0.22,0.21,0.23,9734.0,4652.0,0.64062859375,False,2025-02-14,C
SOFI250214C00016000,2025-02-07 20:59:47+00:00,16.0,0.12,0.11,0.12,9264.0,10926.0,0.6562534375000001,False,2025-02-14,C
SOFI250214C00016500,2025-02-07 20:59:32+00:00,16.5,0.06,0.06,0.07,2737.0,9746.0,0.6953155468750001,False,2025-02-14,C
SOFI250214C00017000,2025-02-07 20:59:27+00:00,17.0,0.04,0.04,0.05,2181.0,9985.0,0.7656273437500001,False,2025-02-14,C
SOFI250214C00017500,2025-02-07 20:59:57+00:00,17.5,0.04,0.03,0.04,879.0,4419.0,0.8437515624999999,False,2025-02-14,C
SOFI250214C00018000,2025-02-07 20:50:02+00:00,18.0,0.03,0.02,0.03,2401.0,8028.0,0.8984385156249999,False,2025-02-14,C
SOFI250214C00018500,2025-02-07 20:54:34+00:00,18.5,0.02,0.02,0.03,288.0,5226.0,1.000005,False,2025-02-14,C
SOFI250214C00019000,2025-02-07 20:30:45+00:00,19.0,0.02,0.01,0.02,143.0,3118.0,1.015629921875,False,2025-02-14,C
SOFI250214C00019500,2025-02-07 20:58:49+00:00,19.5,0.01,0.01,0.02,119.0,1320.0,1.09375453125,False,2025-02-14,C
SOFI250214C00020000,2025-02-07 20:52:58+00:00,20.0,0.02,0.01,0.02,199.0,2574.0,1.1875040625,False,2025-02-14,C
SOFI250214C00020500,2025-02-07 14:40:19+00:00,20.5,0.04,0.01,0.04,5.0,427.0,1.3750031249999999,False,2025-02-14,C
SOFI250214C00021000,2025-02-07 20:34:25+00:00,21.0,0.02,0.01,0.02,235.0,1332.0,1.3437532812499997,False,2025-02-14,C
SOFI250214C00021500,2025-02-07 20:50:02+00:00,21.5,0.01,0.0,0.01,3.0,24.0,1.2500037499999999,False,2025-02-14,C
SOFI250214C00022000,2025-02-07 19:21:42+00:00,22.0,0.01,0.0,0.01,5.0,545.0,1.3125034374999998,False,2025-02-14,C
SOFI250214C00022500,2025-02-05 18:19:11+00:00,22.5,0.02,0.0,0.02,287.0,396.0,1.5000025,False,2025-02-14,C
SOFI250214C00023000,2025-02-07 16:37:52+00:00,23.0,0.01,0.0,0.01,8.0,276.0,1.4375028125,False,2025-02-14,C
SOFI250214C00024000,2025-02-06 19:11:58+00:00,24.0,0.02,0.0,0.16,1.0,669.0,2.3125042187499996,False,2025-02-14,C
SOFI250214C00025000,2025-02-07 19:41:01+00:00,25.0,0.01,0.0,0.03,32.0,1018.0,1.9062504687500001,False,2025-02-14,C
SOFI250214C00026000,2025-02-05 14:39:00+00:00,26.0,0.01,0.0,0.75,3.0,11.0,3.6484383789062504,False,2025-02-14,C
SOFI250214C00027000,2025-01-31 18:19:41+00:00,27.0,0.03,0.0,0.75,3.0,30.0,3.81250046875,False,2025-02-14,C
SOFI250214C00028000,2025-02-05 14:56:55+00:00,28.0,0.01,0.0,0.01,1.0,240.0,1.96875015625,False,2025-02-14,C
SOFI250214C00029000,2025-01-24 15:46:23+00:00,29.0,0.12,0.0,0.75,23.0,157.0,4.117192353515625,False,2025-02-14,C
SOFI250214C00030000,2025-01-27 14:30:01+00:00,30.0,0.32,0.0,0.25,,5.0,3.3671890820312496,False,2025-02-14,C
SOFI250214C00036000,2025-02-05 18:41:10+00:00,36.0,0.01,0.0,0.01,3.0,12.0,2.6250034375,False,2025-02-14,C
SOFI250221C00004000,2025-02-07 14:42:14+00:00,4.0,11.04,10.45,11.65,1.0,19.0,4.546879316406249,True,2025-02-21,C
SOFI250221C00005000,2025-02-03 15:03:35+00:00,5.0,10.08,8.85,11.15,1.0,50.0,3.4843762890625003,True,2025-02-21,C
SOFI250221C00006000,2025-02-07 20:47:52+00:00,6.0,8.97,8.05,9.25,2.0,21.0,4.039067451171874,True,2025-02-21,C
SOFI250221C00007000,2025-02-07 20:17:29+00:00,7.0,7.9,7.1,8.9,1.0,280.0,2.50000375,True,2025-02-21,C
SOFI250221C00008000,2025-02-06 15:55:23+00:00,8.0,6.89,6.6,7.7,1.0,233.0,2.6601595996093756,True,2025-02-21,C
SOFI250221C00009000,2025-02-07 15:49:01+00:00,9.0,6.23,5.55,6.7,24.0,248.0,2.1796920507812496,True,2025-02-21,C
SOFI250221C00010000,2025-02-07 18:08:57+00:00,10.0,5.15,4.55,5.6,11.0,880.0,1.68359533203125,True,2025-02-21,C
SOFI250221C00011000,2025-02-07 20:11:06+00:00,11.0,3.95,3.15,4.75,304.0,970.0,0.9765627343750001,True,2025-02-21,C
SOFI250221C00011500,2025-02-06 16:05:39+00:00,11.5,3.32,3.4,4.4,1.0,11.0,1.765626171875,True,2025-02-21,C
SOFI250221C00012000,2025-02-07 20:37:30+00:00,12.0,3.01,2.92,3.5,21.0,707.0,1.2949254003906248,True,2025-02-21,C
SOFI250221C00012500,2025-02-07 19:11:44+00:00,12.5,2.55,2.4,2.89,10.0,56.0,1.0293017285156252,True,2025-02-21,C
SOFI250221C00013000,2025-02-07 20:47:22+00:00,13.0,2.05,2.0,2.24,38.0,3527.0,0.8359391406249999,True,2025-02-21,C
SOFI250221C00013500,2025-02-07 20:53:37+00:00,13.5,1.63,1.52,1.59,47.0,226.0,0.5898478515625001,True,2025-02-21,C
SOFI250221C00014000,2025-02-07 20:59:41+00:00,14.0,1.17,1.16,1.27,627.0,3670.0,0.6347692773437501,True,2025-02-21,C
SOFI250221C00014500,2025-02-07 20:59:29+00:00,14.5,0.84,0.83,0.88,454.0,1041.0,0.5918009570312501,True,2025-02-21,C
SOFI250221C00015000,2025-02-07 20:59:36+00:00,15.0,0.56,0.55,0.58,1889.0,10223.0,0.5625043750000001,False,2025-02-21,C
SOFI250221C00015500,2025-02-07 20:54:43+00:00,15.5,0.39,0.34,0.39,1922.0,7781.0,0.56055126953125,False,2025-02-21,C
SOFI250221C00016000,2025-02-07 20:58:22+00:00,16.0,0.24,0.23,0.24,2631.0,16579.0,0.570316796875,False,2025-02-21,C
SOFI250221C00016500,2025-02-07 20:59:29+00:00,16.5,0.15,0.13,0.15,1269.0,4885.0,0.570316796875,False,2025-02-21,C
SOFI250221C00017000,2025-02-07 20:59:25+00:00,17.0,0.1,0.09,0.1,1592.0,18669.0,0.5976602734375001,False,2025-02-21,C
SOFI250221C00017500,2025-02-07 20:47:41+00:00,17.5,0.08,0.07,0.08,1569.0,5096.0,0.648441015625,False,2025-02-21,C
SOFI250221C00018000,2025-02-07 20:58:09+00:00,18.0,0.06,0.05,0.06,1040.0,25447.0,0.6796907031250001,False,2025-02-21,C
SOFI250221C00018500,2025-02-07 20:45:31+00:00,18.5,0.04,0.04,0.05,91.0,2198.0,0.7187528125,False,2025-02-21,C
SOFI250221C00019000,2025-02-07 20:44:20+00:00,19.0,0.04,0.04,0.05,181.0,15779.0,0.789064609375,False,2025-02-21,C
SOFI250221C00019500,2025-02-07 16:52:48+00:00,19.5,0.04,0.01,0.14,22.0,971.0,0.9492192578124999,False,2025-02-21,C
SOFI250221C00020000,2025-02-07 20:59:57+00:00,20.0,0.04,0.03,0.04,552.0,16411.0,0.87500125,False,2025-02-21,C
SOFI250221C00020500,2025-02-07 19:51:27+00:00,20.5,0.03,0.03,0.06,21.0,1039.0,0.9765627343750001,False,2025-02-21,C
SOFI250221C00021000,2025-02-07 20:23:49+00:00,21.0,0.03,0.02,0.03,86.0,4689.0,0.937500625,False,2025-02-21,C
SOFI250221C00021500,2025-02-07 20:55:26+00:00,21.5,0.02,0.01,0.05,19.0,232.0,1.0234423828125,False,2025-02-21,C
SOFI250221C00022000,2025-02-07 20:07:39+00:00,22.0,0.03,0.02,0.03,38.0,6747.0,1.0468797656250002,False,2025-02-21,C
SOFI250221C00022500,2025-02-07 15:26:06+00:00,22.5,0.02,0.02,0.03,2.0,933.0,1.09375453125,False,2025-02-21,C
SOFI250221C00023000,2025-02-07 19:46:24+00:00,23.0,0.02,0.02,0.06,114.0,2932.0,1.2265663671875,False,2025-02-21,C
SOFI250221C00024000,2025-02-07 15:41:15+00:00,24.0,0.01,0.01,0.03,117.0,3649.0,1.1875040625,False,2025-02-21,C
SOFI250221C00025000,2025-02-07 16:01:54+00:00,25.0,0.02,0.01,0.02,17.0,4840.0,1.2343788281249999,False,2025-02-21,C
SOFI250221C00026000,2025-02-07 18:22:16+00:00,26.0,0.01,0.01,0.02,107.0,333.0,1.3125034374999998,False,2025-02-21,C
SOFI250221C00027000,2025-02-07 17:52:21+00:00,27.0,0.01,0.0,0.24,1.0,396.0,1.9062504687500001,False,2025-02-21,C
SOFI250221C00028000,2025-01-31 15:17:51+00:00,28.0,0.02,0.0,0.75,1.0,55.0,2.56250359375,False,2025-02-21,C
SOFI250221C00029000,2025-01-30 15:20:28+00:00,29.0,0.01,0.0,0.75,2.0,11.0,2.6562533593750004,False,2025-02-21,C
SOFI250221C00030000,2025-02-05 15:35:47+00:00,30.0,0.02,0.0,0.02,10.0,1564.0,1.5000025,False,2025-02-21,C
SOFI250221C00031000,2025-01-28 15:49:57+00:00,31.0,0.01,0.0,0.75,2.0,58.0,2.8359404101562498,False,2025-02-21,C
SOFI250221C00032000,2025-01-27 19:12:05+00:00,32.0,0.02,0.0,0.3,3.0,16.0,2.4023477441406245,False,2025-02-21,C
SOFI250221C00033000,2025-02-03 15:18:48+00:00,33.0,0.01,0.0,0.75,1.0,20.0,2.9960962597656247,False,2025-02-21,C
SOFI250221C00035000,2025-02-04 20:26:04+00:00,35.0,0.03,0.0,0.03,1.0,7.0,1.875000625,False,2025-02-21,C
SOFI250221C00036000,2025-01-27 17:43:18+00:00,36.0,0.02,0.0,0.01,101.0,101.0,1.75000125,False,2025-02-21,C
